"ELL2"	"ELL2"
"JUP"	"JUP"
"FKBP10"	"FKBP10"
"KLHL10"	"KLHL10"
"MNX1"	"MNX1"
"NOM1"	"NOM1"
"ERGIC1"	"ERGIC1"
"TNK1"	"TNK1"
"ACAP1"	"ACAP1"
"TCEA3"	"TCEA3"
"CSN3"	"CSN3"
"IFRD1"	"IFRD1"
"STK38L"	"STK38L"
"BRPF1"	"BRPF1"
"AKR1B3"	"AKR1B3"
"HOXC13"	"HOXC13"
"HOXC11"	"HOXC11"
"HOXC8"	"HOXC8"
"HOXC6"	"HOXC6"
"GSTT1"	"GSTT1"
"GSTT3"	"GSTT3"
"DDT"	"DDT"
"TAT"	"TAT"
"MARVELD3"	"MARVELD3"
"DDX18"	"DDX18"
"UBL3"	"UBL3"
"GRAMD3"	"GRAMD3"
"EEF1E1"	"EEF1E1"
"AKT1"	"AKT1"
"CLDN15"	"CLDN15"
"IL16"	"IL16"
"TCIRG1"	"TCIRG1"
"NAGLU"	"NAGLU"
"COASY"	"COASY"
"SMO"	"SMO"
"TSPAN33"	"TSPAN33"
"CRNKL1"	"CRNKL1"
"RIN2"	"RIN2"
"FOLH1"	"FOLH1"
"CHORDC1"	"CHORDC1"
"RTCB"	"RTCB"
"PWP1"	"PWP1"
"FBXO7"	"FBXO7"
"CAPNS1"	"CAPNS1"
"LRP3"	"LRP3"
"DSG4"	"DSG4"
"EVX2"	"EVX2"
"HOXD13"	"HOXD13"
"HOXD12"	"HOXD12"
"FOLR1"	"FOLR1"
"CLPB"	"CLPB"
"SEPT7"	"SEPT7"
"ZDHHC4"	"ZDHHC4"
"RAC1"	"RAC1"
"NUP214"	"NUP214"
"AIF1L"	"AIF1L"
"CPA3"	"CPA3"
"LTBP1"	"LTBP1"
"UGP2"	"UGP2"
"KCNH6"	"KCNH6"
"TRMT1"	"TRMT1"
"NACC1"	"NACC1"
"NFIX"	"NFIX"
"SLC1A5"	"SLC1A5"
"UBA1"	"UBA1"
"VWF"	"VWF"
"SIAE"	"SIAE"
"VSIG2"	"VSIG2"
"ESAM"	"ESAM"
"SPA17"	"SPA17"
"FAM50A"	"FAM50A"
"EMD"	"EMD"
"TACO1"	"TACO1"
"GRIK3"	"GRIK3"
"GRIA3"	"GRIA3"
"NPAS1"	"NPAS1"
"SIPA1L2"	"SIPA1L2"
"AP4E1"	"AP4E1"
"BLVRA"	"BLVRA"
"PDZD4"	"PDZD4"
"SRPK3"	"SRPK3"
"IDH3G"	"IDH3G"
"PNCK"	"PNCK"
"SSR4"	"SSR4"
"BCAP31"	"BCAP31"
"FAM98A"	"FAM98A"
"LTBP2"	"LTBP2"
"KMT2A"	"KMT2A"
"IFT46"	"IFT46"
"TMEM25"	"TMEM25"
"CD3G"	"CD3G"
"TRAPPC6A"	"TRAPPC6A"
"SUPT6"	"SUPT6"
"SPAG5"	"SPAG5"
"FOXN1"	"FOXN1"
"UNC119"	"UNC119"
"RAB34"	"RAB34"
"SDF2"	"SDF2"
"CCNE1"	"CCNE1"
"HSF2BP"	"HSF2BP"
"BBC3"	"BBC3"
"MYBPC3"	"MYBPC3"
"PSMC3"	"PSMC3"
"ACP2"	"ACP2"
"RAPSN"	"RAPSN"
"SLC39A13"	"SLC39A13"
"CELF2"	"CELF2"
"NR1H3"	"NR1H3"
"DDB2"	"DDB2"
"SPI1"	"SPI1"
"SF3A1"	"SF3A1"
"STAT6"	"STAT6"
"CLGN"	"CLGN"
"NAPSA"	"NAPSA"
"VRK3"	"VRK3"
"SMG9"	"SMG9"
"PAXIP1"	"PAXIP1"
"RMND5A"	"RMND5A"
"MOV10"	"MOV10"
"PPM1J"	"PPM1J"
"RHOC"	"RHOC"
"PRR27"	"PRR27"
"TEAD3"	"TEAD3"
"PPARD"	"PPARD"
"DEF6"	"DEF6"
"PEG3"	"PEG3"
"ZIM1"	"ZIM1"
"METRN"	"METRN"
"LMF1"	"LMF1"
"NARFL"	"NARFL"
"ANGPTL4"	"ANGPTL4"
"DBF4"	"DBF4"
"DAXX"	"DAXX"
"CD320"	"CD320"
"IPO4"	"IPO4"
"TM9SF1"	"TM9SF1"
"REC8"	"REC8"
"IRF9"	"IRF9"
"MDP1"	"MDP1"
"DHRS1"	"DHRS1"
"NCAN"	"NCAN"
"TMEM161A"	"TMEM161A"
"ARMC6"	"ARMC6"
"BORCS8"	"BORCS8"
"SLC25A42"	"SLC25A42"
"SNX9"	"SNX9"
"RANBP3"	"RANBP3"
"NDUFA11"	"NDUFA11"
"BMP8B"	"BMP8B"
"NR2F6"	"NR2F6"
"USE1"	"USE1"
"OCEL1"	"OCEL1"
"DYRK1B"	"DYRK1B"
"BRAF"	"BRAF"
"NDUFB2"	"NDUFB2"
"HLTF"	"HLTF"
"PRPF6"	"PRPF6"
"RGS19"	"RGS19"
"RGS20"	"RGS20"
"ABHD3"	"ABHD3"
"SNRPD1"	"SNRPD1"
"TCHP"	"TCHP"
"TIAM1"	"TIAM1"
"TSC2"	"TSC2"
"RPL3L"	"RPL3L"
"SLC9A3R2"	"SLC9A3R2"
"PUF60"	"PUF60"
"GOLGA2"	"GOLGA2"
"UCK1"	"UCK1"
"SCIN"	"SCIN"
"IKZF4"	"IKZF4"
"MIEN1"	"MIEN1"
"PON1"	"PON1"
"AXL"	"AXL"
"TGFB1"	"TGFB1"
"CCDC97"	"CCDC97"
"ZFP40"	"ZFP40"
"AKAP8L"	"AKAP8L"
"SHH"	"SHH"
"PDCD2L"	"PDCD2L"
"GTF2F1"	"GTF2F1"
"CLPP"	"CLPP"
"ALKBH7"	"ALKBH7"
"PSPN"	"PSPN"
"DENND1C"	"DENND1C"
"MED6"	"MED6"
"PRKD1"	"PRKD1"
"LCP2"	"LCP2"
"CSE1L"	"CSE1L"
"NAA20"	"NAA20"
"PRKRA"	"PRKRA"
"FKBP7"	"FKBP7"
"PLEKHA3"	"PLEKHA3"
"YKT6"	"YKT6"
"BAZ1B"	"BAZ1B"
"PEX6"	"PEX6"
"MRPL2"	"MRPL2"
"MEA1"	"MEA1"
"GNMT"	"GNMT"
"GRIN2D"	"GRIN2D"
"KDELR1"	"KDELR1"
"TMEM143"	"TMEM143"
"PDXK-PS"	"PDXK-PS"
"GGCT"	"GGCT"
"JAG2"	"JAG2"
"BTBD6"	"BTBD6"
"NUDT14"	"NUDT14"
"EPDR1"	"EPDR1"
"FLII"	"FLII"
"TOP3A"	"TOP3A"
"ATG4D"	"ATG4D"
"QTRT1"	"QTRT1"
"PLIN4"	"PLIN4"
"HDGFRP2"	"HDGFRP2"
"CHAF1A"	"CHAF1A"
"ADPRH"	"ADPRH"
"TMEM39A"	"TMEM39A"
"TIMMDC1"	"TIMMDC1"
"PLA1A"	"PLA1A"
"MCM2"	"MCM2"
"TPRA1"	"TPRA1"
"NAB1"	"NAB1"
"ADGRE5"	"ADGRE5"
"IL17RA"	"IL17RA"
"LAMB1"	"LAMB1"
"KCNN1"	"KCNN1"
"ARRDC2"	"ARRDC2"
"PPP1R17"	"PPP1R17"
"CD36"	"CD36"
"MAP2K7"	"MAP2K7"
"TIMM44"	"TIMM44"
"AP2A2"	"AP2A2"
"PNKP"	"PNKP"
"MED25"	"MED25"
"BCAM"	"BCAM"
"CLPTM1"	"CLPTM1"
"RELB"	"RELB"
"TOMM40"	"TOMM40"
"APOE"	"APOE"
"APOC2"	"APOC2"
"HBP1"	"HBP1"
"PRKAR2B"	"PRKAR2B"
