ICMT	ICMT
HES3	HES3
GPR153	GPR153
ACOT7	ACOT7
HES2	HES2
ESPN	ESPN
TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5
NOL9	NOL9
TAS1R1	TAS1R1
ZBTB48	ZBTB48
KLHL21	KLHL21
PHF13	PHF13
THAP3	THAP3
DNAJC11	DNAJC11
CAMTA1	CAMTA1
VAMP3	VAMP3
PER3	PER3
UTS2	UTS2
TNFRSF9	TNFRSF9
PARK7	PARK7
ERRFI1	ERRFI1
SLC45A1	SLC45A1
RERE	RERE
ENO1	ENO1
CA6	CA6
SLC2A7	SLC2A7
SLC2A5	SLC2A5
GPR157	GPR157
H6PD	H6PD
SPSB1	SPSB1
SLC25A33	SLC25A33
TMEM201	TMEM201
PIK3CD	PIK3CD
CLSTN1	CLSTN1
CTNNBIP1	CTNNBIP1
LZIC	LZIC
NMNAT1	NMNAT1
RBP7	RBP7
UBE4B	UBE4B
KIF1B	KIF1B
PGD	PGD
CENPS-CORT	CENPS-CORT
CENPS	CENPS
CORT	CORT
DFFA	DFFA
PEX14	PEX14
CASZ1	CASZ1
C1orf127	C1orf127
TARDBP	TARDBP
AL109811.4	AL109811.4
MASP2	MASP2
SRM	SRM
EXOSC10	EXOSC10
MTOR	MTOR
ANGPTL7	ANGPTL7
UBIAD1	UBIAD1
DISP3	DISP3
FBXO2	FBXO2
FBXO44	FBXO44
FBXO6	FBXO6
MAD2L2	MAD2L2
DRAXIN	DRAXIN
AGTRAP	AGTRAP
C1orf167	C1orf167
MTHFR	MTHFR
CLCN6	CLCN6
NPPA	NPPA
NPPB	NPPB
KIAA2013	KIAA2013
PLOD1	PLOD1
MFN2	MFN2
MIIP	MIIP
TNFRSF8	TNFRSF8
TNFRSF1B	TNFRSF1B
VPS13D	VPS13D
DHRS3	DHRS3
AADACL4	AADACL4
AADACL3	AADACL3
C1orf158	C1orf158
PRAMEF12	PRAMEF12
PRAMEF1	PRAMEF1
PRAMEF11	PRAMEF11
HNRNPCL1	HNRNPCL1
PRAMEF2	PRAMEF2
PRAMEF4	PRAMEF4
PRAMEF10	PRAMEF10
PRAMEF7	PRAMEF7
PRAMEF6	PRAMEF6
PRAMEF27	PRAMEF27
HNRNPCL3	HNRNPCL3
PRAMEF25	PRAMEF25
HNRNPCL2	HNRNPCL2
PRAMEF26	PRAMEF26
HNRNPCL4	HNRNPCL4
PRAMEF9	PRAMEF9
PRAMEF13	PRAMEF13
PRAMEF18	PRAMEF18
PRAMEF5	PRAMEF5
PRAMEF8	PRAMEF8
PRAMEF33	PRAMEF33
PRAMEF15	PRAMEF15
PRAMEF14	PRAMEF14
PRAMEF19	PRAMEF19
PRAMEF17	PRAMEF17
PRAMEF20	PRAMEF20
LRRC38	LRRC38
PDPN	PDPN
PRDM2	PRDM2
KAZN	KAZN
TMEM51	TMEM51
FHAD1	FHAD1
EFHD2	EFHD2
CTRC	CTRC
CELA2A	CELA2A
CELA2B	CELA2B
CASP9	CASP9
DNAJC16	DNAJC16
AGMAT	AGMAT
DDI2	DDI2
RSC1A1	RSC1A1
PLEKHM2	PLEKHM2
SLC25A34	SLC25A34
TMEM82	TMEM82
